time_ns,clock,v,ve,p_bits,p_dec,pe_bits,pe_dec,b,error,reset,start,ready,state_bits,state,next_state_bits,next,count
2900,1,0,1,00000,0,00101,5,1@5,0,0,1,0,10,CHECK,10,CHECK,0
2950,0,0,1,00000,0,00101,5,1@5,0,0,1,0,10,CHECK,10,CHECK,0
3000,1,0,1,00001,1,00101,5,1@5,0,0,1,0,10,CHECK,10,CHECK,1
3050,0,0,1,00001,1,00101,5,1@5,0,0,1,0,10,CHECK,10,CHECK,1
3100,1,0,1,00010,2,00101,5,1@5,0,0,1,0,10,CHECK,10,CHECK,2
3150,0,0,1,00010,2,00101,5,1@5,0,0,1,0,10,CHECK,10,CHECK,2
3200,1,0,1,00011,3,00101,5,1@5,0,0,1,0,10,CHECK,10,CHECK,3
3250,0,0,1,00011,3,00101,5,1@5,0,0,1,0,10,CHECK,10,CHECK,3
3300,1,0,1,00100,4,00101,5,1@5,0,0,1,0,10,CHECK,10,CHECK,4
3350,0,0,1,00100,4,00101,5,1@5,0,0,1,0,10,CHECK,10,CHECK,4
3400,1,1,1,00101,5,00101,5,1@5,0,0,1,0,10,CHECK,01,IDLE,5
3450,0,1,1,00101,5,00101,5,1@5,0,0,1,0,10,CHECK,01,IDLE,5
3500,1,1,1,00101,5,00101,5,1@5,0,0,0,1,01,IDLE,01,IDLE,5
3550,0,1,1,00101,5,00110,6,1@6,0,0,0,1,01,IDLE,01,IDLE,5
3600,1,1,1,00101,5,00110,6,1@6,0,0,0,1,01,IDLE,01,IDLE,5
3650,0,1,1,00101,5,00110,6,1@6,0,0,0,1,01,IDLE,01,IDLE,5
3700,1,1,1,00101,5,00110,6,1@6,0,0,0,1,01,IDLE,01,IDLE,5
3750,0,1,1,00101,5,00110,6,1@6,0,0,1,1,01,IDLE,10,CHECK,5
3800,1,0,1,00000,0,00110,6,1@6,0,0,1,0,10,CHECK,10,CHECK,0
3850,0,0,1,00000,0,00110,6,1@6,0,0,0,0,10,CHECK,10,CHECK,0
3900,1,0,1,00001,1,00110,6,1@6,0,0,0,0,10,CHECK,10,CHECK,1
3950,0,0,1,00001,1,00110,6,1@6,0,0,0,0,10,CHECK,10,CHECK,1
4000,1,0,1,00010,2,00110,6,1@6,0,0,0,0,10,CHECK,10,CHECK,2
